Prediction,Flare Class,TOTUSJH,TOTBSQ,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,TOTFZ,MEANPOT,R_VALUE,EPSZ,SHRGT45
B,B10,179.218,8957600000,1.51E+23,3.53E+12,62.191,1.2E+12,4.32E+21,153.425,-193.44,21016.8,3.351,-0.041,64.003
B,B14,292.284,5419000000,4.62E+22,5.21E+12,46.944,2.63E+12,3.41E+21,244.917,-358.86,7870.73,2.917,-0.1256,29.76
X,X22,3108.06,41184000000,6.55E+23,4.84E+13,1813.38,6.58E+13,2.41E+22,1261.09,-1337.4,14314.5,4.897,-0.0616,39.245
X,X12,7589.58,1.65E+11,2.99E+24,1.65E+14,2185.35,7.72E+13,9.33E+22,4448.32,-1823,14033.1,4.962,-0.021,51.014
X,X10,1098.55,14717000000,1.69E+23,2.17E+13,253.733,1.35E+13,1.13E+22,751.502,-1132.4,6990.11,4.203,-0.1459,26.704
X,X16,11762.2,2.25E+11,4.76E+24,2.16E+14,650.243,1.54E+13,1.36E+23,6158.15,-5991.2,18881.5,5.463,-0.0505,48.13
M,M10,651.383,23721000000,2.07E+23,1.02E+13,128.779,1.73E+12,1.16E+22,482.56,-2362.5,10704.8,3.757,-0.1889,25.781
M,M29,714.377,16015000000,6.90E+22,1.14E+13,25.607,5.94E+12,7.93E+21,707.666,-793.58,5264.65,3.942,-0.094,13.941
M,M54,1032.62,32698000000,8.34E+22,1.64E+13,144.478,5.39E+12,2.02E+22,647.258,-7178.3,2677.04,3.696,-0.4164,2.394
M,M18,4205.19,75541000000,1.03E+24,8.33E+13,415.39,2.56E+13,6.55E+22,1829.17,-10046,7644.54,4.67,-0.2523,26.104
M,M37,3323.23,48037000000,5.86E+23,5.95E+13,158.76,1.34E+12,4.61E+22,1302.78,-8261.9,6467,4.621,-0.3262,24.616
M,M42,1979.94,28920000000,4.05E+23,3.89E+13,696.878,2.91E+13,2.54E+22,857.365,-3083.2,7341.19,4.418,-0.2022,25.942
B,C25,816.722,14435000000,9.24E+22,1.2E+13,34.945,1.7E+12,1.31E+22,468.477,-3432.3,4888.28,3.93,-0.451,6.114
M,C12,1603.94,33967000000,5.93E+23,2.82E+13,40.406,2.73E+12,1.92E+22,898.827,-983.18,18279.5,4.436,-0.0549,55.01
C,C18,1396.53,41994000000,5.27E+23,1.82E+13,201.258,9.49E+12,2.58E+22,992.192,-5227.7,14877.8,4.3,-0.2361,29.743
B,C10,164.912,4926200000,1.18E+22,2.61E+12,39.542,1.34E+12,2.52E+21,193.384,-355.33,2990.28,2.746,-0.1368,3.041
C,C14,253.756,5681400000,3.03E+22,5.1E+12,56.111,1.63E+12,3.43E+21,91.4667,-531.19,4387.94,3.55,-0.1773,24.36
M,C24,1260.15,22420000000,3.97E+23,2.83E+13,19.381,7.03E+12,1.48E+22,575.3,-837.03,12251.6,4.413,-0.0708,52.75
C,C24,1094.05,15605000000,2.52E+23,2.45E+13,412.788,1.95E+13,1.47E+22,543.877,-1310,7055.95,4.016,-0.1592,36.68
B,C20,532.13,8285100000,5.85E+22,1.1E+13,112.787,4.99E+12,8.33E+21,264.399,-1397.2,3235.29,3.779,-0.3199,10.959
B,C11,429.988,6009600000,3.45E+22,9.9E+12,106.824,4.09E+12,5.84E+21,274.06,-700.12,2512.23,3.557,-0.221,15.092
C,C10,709.246,15897000000,5.07E+22,1.75E+13,7.603,1.46E+12,1.30E+22,445.587,-824.99,1645.96,2.777,-0.0984,5.885
